快樂是我的奢侈品,快樂(VH) 是(SHI) 我(Nh) 的(DE) 奢侈品(Na),0,3.888888889,4.0
由最初的焦慮症至憂鬱症,由(P) 最初(Nd) 的(DE) 焦慮症(Na) 至(Caa) 憂鬱症(Na),0,3.375,3.777777778
我不會悲傷也不會感動,我(Nh) 不會(D) 悲傷(VH) 也(D) 不會(D) 感動(VHC),0,4.666666667,3.4444444439999997
沒有喜怒哀樂,沒有(VJ) 喜怒哀樂(Na),0,3.5,3.8
生命及生活陷入黑白,生命(Na) 及(Caa) 生活(Na) 陷入(VCL) 黑白(A),0,2.888888889,4.333333333
不斷哭泣,不斷(D) 哭泣(VA),0,3.333333333,5.6
不斷湧出的難過,不斷(D) 湧出(VA) 的(DE) 難過(VK),0,3.375,5.666666667
又動不動的想哭的死去活來,又(D) 動不動(D) 的(DE) 想(VE) 哭(VA) 的(DE) 死去活來(VH),0,3.0,6.222222222
常常會莫名的想哭,常常(D) 會(D) 莫名(VH) 的(DE) 想(VE) 哭(VA),0,3.142857143,5.0
可是常常還是情緒莫名的低落,可是(Cbb) 常常(D) 還是(D) 情緒(Na) 莫名(A) 的(DE) 低落(VH),0,3.714285714,4.6
心情就跟著低落,心情(Na) 就(D) 跟(P) 著(Di) 低落(VH),0,3.375,4.0
有時會產生憂鬱的症狀,有時(D) 會(D) 產生(VHC) 憂鬱(VH) 的(DE) 症狀(Na),0,3.4,4.0
我好低潮,我(Nh) 好(Dfa) 低潮(VH),0,3.666666667,5.0
加上壓力和憂鬱,加上(Cbb) 壓力(Na) 和(Caa) 憂鬱(Nv),0,2.75,4.375
但情緒一直很低落,但(Cbb) 情緒(Na) 一直(D) 很(Dfa) 低落(VH),0,3.0,4.8888888889999995
近來在工作上非常低落,近來(D) 在(P) 工作(Na) 上(Ng) 非常(Dfa) 低落(VH),0,3.5555555560000003,3.5
但是他會感到非常難過,但是(Cbb) 他(Nh) 會(D) 感到(VK) 非常(Dfa) 難過(VK),0,2.625,5.666666667
心情就會很不好,心情(Na) 就(D) 會(D) 很(Dfa) 不(D) 好(VH),0,3.5,4.222222222
常常使得對自己很哀怨,常常(D) 使得(VL) 對(P) 自己(Nh) 很(Dfa) 哀怨(VH),0,3.0,5.1111111110000005
要不然就是很低落,要不然(Cbb) 就是(Cbb) 很(Dfa) 低落(VH),0,3.5555555560000003,4.5
